group,task_id,case_family,checklist_pass_rate,semantic_hit_rate,timed_out,accepted,failure_attribution
ccb-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-003,full_year_audit,33.333,30.769,False,True,anomaly_omission|anomaly_scope_expansion|policy_or_version_error|reasoning_or_scan_error|record_id_omission
ccb-baseline,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-007,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-008,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,L3-009,retrieval_and_report,93.151,92.537,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
ccb-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-baseline,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
ccb-baseline,TRAP-003,clean_trap,81.25,80.0,False,True,policy_or_version_error
ccb-baseline,TRAP-005,clean_trap,88.0,87.5,False,True,other_checklist_item_miss
ccb-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-003,full_year_audit,70.37,69.231,False,True,anomaly_omission|policy_or_version_error|reasoning_or_scan_error|record_id_omission
ccb-enhanced,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-007,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-008,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,L3-009,retrieval_and_report,86.301,85.075,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
ccb-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
ccb-enhanced,TRAP-003,clean_trap,100.0,100.0,False,True,all_checklist_items_met
ccb-enhanced,TRAP-005,clean_trap,96.0,95.833,False,True,other_checklist_item_miss
codex-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
codex-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
codex-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
codex-baseline,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
codex-baseline,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
codex-baseline,L3-003,full_year_audit,44.444,42.308,False,True,anomaly_omission|policy_or_version_error|reasoning_or_scan_error|record_id_omission
codex-baseline,L3-004,full_year_audit,4.167,4.348,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
codex-baseline,L3-006,policy_and_version,87.5,85.714,False,True,other_checklist_item_miss
codex-baseline,L3-007,retrieval_and_report,77.778,75.0,False,True,anomaly_omission|anomaly_scope_expansion
codex-baseline,L3-008,policy_and_version,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
codex-baseline,L3-009,retrieval_and_report,1.37,1.493,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
codex-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
codex-baseline,TRAP-002,clean_trap,92.857,92.308,False,True,other_checklist_item_miss
codex-baseline,TRAP-003,clean_trap,93.75,93.333,False,True,policy_or_version_error
codex-baseline,TRAP-005,clean_trap,84.0,83.333,False,True,policy_or_version_error
codex-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
codex-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
codex-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
codex-enhanced,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
codex-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
codex-enhanced,L3-003,full_year_audit,96.296,96.154,False,True,policy_or_version_error
codex-enhanced,L3-004,full_year_audit,95.833,95.652,False,True,reasoning_or_scan_error
codex-enhanced,L3-006,policy_and_version,87.5,85.714,False,True,other_checklist_item_miss
codex-enhanced,L3-007,retrieval_and_report,77.778,75.0,False,True,anomaly_omission|anomaly_scope_expansion
codex-enhanced,L3-008,policy_and_version,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
codex-enhanced,L3-009,retrieval_and_report,1.37,1.493,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
codex-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
codex-enhanced,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
codex-enhanced,TRAP-003,clean_trap,100.0,100.0,False,True,all_checklist_items_met
codex-enhanced,TRAP-005,clean_trap,96.0,95.833,False,True,other_checklist_item_miss
openclaude-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
openclaude-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-baseline,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-baseline,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-baseline,L3-003,full_year_audit,59.259,57.692,False,True,anomaly_scope_expansion|reasoning_or_scan_error|record_id_omission|record_scope_expansion
openclaude-baseline,L3-004,full_year_audit,41.667,39.13,False,True,reasoning_or_scan_error|record_id_omission|record_scope_expansion
openclaude-baseline,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
openclaude-baseline,L3-007,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-baseline,L3-008,policy_and_version,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-baseline,L3-009,retrieval_and_report,64.384,61.194,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
openclaude-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-baseline,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
openclaude-baseline,TRAP-003,clean_trap,93.75,93.333,False,True,policy_or_version_error
openclaude-baseline,TRAP-005,clean_trap,100.0,100.0,False,True,all_checklist_items_met
openclaude-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-enhanced,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
openclaude-enhanced,L3-003,full_year_audit,44.444,42.308,False,True,anomaly_omission|policy_or_version_error|reasoning_or_scan_error|record_id_omission
openclaude-enhanced,L3-004,full_year_audit,95.833,95.652,False,True,policy_or_version_error
openclaude-enhanced,L3-006,policy_and_version,87.5,85.714,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,L3-007,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,L3-008,policy_and_version,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,L3-009,retrieval_and_report,69.863,67.164,False,True,anomaly_omission|anomaly_scope_expansion|policy_or_version_error|record_id_omission|record_scope_expansion|report_completeness_error
openclaude-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,TRAP-002,clean_trap,100.0,100.0,False,True,all_checklist_items_met
openclaude-enhanced,TRAP-003,clean_trap,93.75,93.333,False,True,policy_or_version_error
openclaude-enhanced,TRAP-005,clean_trap,88.0,87.5,False,True,other_checklist_item_miss
opencode-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
opencode-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-baseline,L2-013,record_audit,81.818,80.0,False,True,anomaly_scope_expansion|record_scope_expansion
opencode-baseline,L3-001,full_year_audit,96.296,96.154,False,True,reasoning_or_scan_error
opencode-baseline,L3-003,full_year_audit,70.37,69.231,False,True,anomaly_omission|anomaly_scope_expansion|policy_or_version_error|reasoning_or_scan_error|record_id_omission|record_scope_expansion
opencode-baseline,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-baseline,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
opencode-baseline,L3-007,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
opencode-baseline,L3-008,policy_and_version,94.118,93.75,False,True,other_checklist_item_miss
opencode-baseline,L3-009,retrieval_and_report,90.411,89.552,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
opencode-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
opencode-baseline,TRAP-002,clean_trap,71.429,69.231,False,True,other_checklist_item_miss
opencode-baseline,TRAP-003,clean_trap,68.75,66.667,False,True,policy_or_version_error
opencode-baseline,TRAP-005,clean_trap,60.0,58.333,False,True,other_checklist_item_miss
opencode-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
opencode-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-enhanced,L2-013,record_audit,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
opencode-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-enhanced,L3-003,full_year_audit,29.63,26.923,False,True,anomaly_omission|anomaly_scope_expansion|policy_or_version_error|reasoning_or_scan_error|record_id_omission
opencode-enhanced,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
opencode-enhanced,L3-006,policy_and_version,87.5,85.714,False,True,other_checklist_item_miss
opencode-enhanced,L3-007,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
opencode-enhanced,L3-008,policy_and_version,94.118,93.75,False,True,other_checklist_item_miss
opencode-enhanced,L3-009,retrieval_and_report,1.37,1.493,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
opencode-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
opencode-enhanced,TRAP-002,clean_trap,71.429,69.231,False,True,other_checklist_item_miss
opencode-enhanced,TRAP-003,clean_trap,56.25,53.333,False,True,policy_or_version_error
opencode-enhanced,TRAP-005,clean_trap,84.0,83.333,False,True,other_checklist_item_miss
oh-my-pi-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-baseline,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-baseline,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-baseline,L3-003,full_year_audit,48.148,46.154,False,True,anomaly_omission|policy_or_version_error|reasoning_or_scan_error|record_id_omission
oh-my-pi-baseline,L3-004,full_year_audit,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-baseline,L3-006,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-baseline,L3-007,retrieval_and_report,77.778,75.0,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-baseline,L3-008,policy_and_version,94.118,93.75,False,True,other_checklist_item_miss
oh-my-pi-baseline,L3-009,retrieval_and_report,1.37,1.493,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
oh-my-pi-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-baseline,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
oh-my-pi-baseline,TRAP-003,clean_trap,62.5,60.0,False,True,policy_or_version_error
oh-my-pi-baseline,TRAP-005,clean_trap,96.0,95.833,False,True,other_checklist_item_miss
oh-my-pi-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,L2-013,record_audit,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,L3-003,full_year_audit,3.704,3.846,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
oh-my-pi-enhanced,L3-004,full_year_audit,4.167,4.348,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
oh-my-pi-enhanced,L3-006,policy_and_version,87.5,85.714,False,True,other_checklist_item_miss
oh-my-pi-enhanced,L3-007,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-enhanced,L3-008,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,L3-009,retrieval_and_report,95.89,95.522,True,True,anomaly_omission|anomaly_scope_expansion|record_scope_expansion|report_completeness_error|timeout
oh-my-pi-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,TRAP-002,clean_trap,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,TRAP-003,clean_trap,100.0,100.0,False,True,all_checklist_items_met
oh-my-pi-enhanced,TRAP-005,clean_trap,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,L3-003,full_year_audit,70.37,69.231,False,True,anomaly_omission|policy_or_version_error|reasoning_or_scan_error|record_id_omission
pi-agent-baseline,L3-004,full_year_audit,41.667,39.13,False,True,reasoning_or_scan_error|record_id_omission|record_scope_expansion
pi-agent-baseline,L3-006,policy_and_version,87.5,85.714,False,True,other_checklist_item_miss
pi-agent-baseline,L3-007,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
pi-agent-baseline,L3-008,policy_and_version,94.118,93.75,False,True,other_checklist_item_miss
pi-agent-baseline,L3-009,retrieval_and_report,60.274,56.716,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|report_completeness_error
pi-agent-baseline,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
pi-agent-baseline,TRAP-002,clean_trap,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,TRAP-003,clean_trap,100.0,100.0,False,True,all_checklist_items_met
pi-agent-baseline,TRAP-005,clean_trap,96.0,95.833,False,True,policy_or_version_error
pi-agent-enhanced,L1-001,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L2-003,record_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L2-008,record_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L2-013,record_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L3-001,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L3-003,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L3-004,full_year_audit,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L3-006,policy_and_version,87.5,85.714,False,True,other_checklist_item_miss
pi-agent-enhanced,L3-007,retrieval_and_report,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L3-008,policy_and_version,100.0,100.0,False,True,all_checklist_items_met
pi-agent-enhanced,L3-009,retrieval_and_report,90.411,89.552,False,True,anomaly_omission|anomaly_scope_expansion|policy_or_version_error|record_id_omission|record_scope_expansion|report_completeness_error
pi-agent-enhanced,L3-010,retrieval_and_report,100.0,100.0,False,True,anomaly_omission|anomaly_scope_expansion
pi-agent-enhanced,TRAP-002,clean_trap,85.714,84.615,False,True,other_checklist_item_miss
pi-agent-enhanced,TRAP-003,clean_trap,81.25,80.0,False,True,policy_or_version_error
pi-agent-enhanced,TRAP-005,clean_trap,88.0,87.5,False,True,other_checklist_item_miss
