group,task_id,case_family,case_score,passed,timed_out,accepted,failure_attribution
ccb-baseline,L1-001,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
ccb-baseline,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-baseline,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-baseline,L2-013,record_audit,60.0,False,False,True,anomaly_scope_expansion|record_scope_expansion
ccb-baseline,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-baseline,L3-003,full_year_audit,25.0,False,True,True,anomaly_scope_expansion|record_scope_expansion|timeout
ccb-baseline,L3-004,full_year_audit,55.0,False,False,True,record_id_omission|record_scope_expansion
ccb-baseline,L3-006,policy_and_version,87.5,True,False,True,passed_or_minor_deduction
ccb-baseline,L3-007,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
ccb-baseline,L3-008,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
ccb-baseline,L3-009,retrieval_and_report,50,False,False,True,anomaly_omission|anomaly_scope_expansion|critical_failure|report_completeness_error
ccb-baseline,L3-010,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
ccb-baseline,TRAP-002,clean_trap,20,False,False,True,critical_failure|record_id_omission|record_scope_expansion
ccb-baseline,TRAP-003,clean_trap,20,False,False,True,critical_failure|record_id_omission|record_scope_expansion
ccb-baseline,TRAP-005,clean_trap,45.0,False,False,True,record_id_omission|record_scope_expansion
ccb-enhanced,L1-001,policy_and_version,95.0,True,False,True,passed_or_minor_deduction
ccb-enhanced,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-enhanced,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-enhanced,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-enhanced,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
ccb-enhanced,L3-003,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
ccb-enhanced,L3-004,full_year_audit,55.0,False,False,True,record_id_omission|record_scope_expansion
ccb-enhanced,L3-006,policy_and_version,87.5,True,False,True,passed_or_minor_deduction
ccb-enhanced,L3-007,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
ccb-enhanced,L3-008,policy_and_version,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
ccb-enhanced,L3-009,retrieval_and_report,77.0,True,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
ccb-enhanced,L3-010,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
ccb-enhanced,TRAP-002,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
ccb-enhanced,TRAP-003,clean_trap,85.0,True,True,True,record_scope_expansion|timeout
ccb-enhanced,TRAP-005,clean_trap,15.0,False,False,True,record_id_omission|record_scope_expansion
codex-baseline,L1-001,policy_and_version,95.0,True,False,True,anomaly_omission|anomaly_scope_expansion
codex-baseline,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
codex-baseline,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
codex-baseline,L2-013,record_audit,65.0,False,False,True,anomaly_scope_expansion
codex-baseline,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
codex-baseline,L3-003,full_year_audit,15.0,False,False,True,anomaly_omission|anomaly_scope_expansion|critical_failure|record_id_omission|record_scope_expansion
codex-baseline,L3-004,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
codex-baseline,L3-006,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
codex-baseline,L3-007,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
codex-baseline,L3-008,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
codex-baseline,L3-009,retrieval_and_report,47.5,False,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
codex-baseline,L3-010,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
codex-baseline,TRAP-002,clean_trap,45.0,False,False,True,record_id_omission|record_scope_expansion
codex-baseline,TRAP-003,clean_trap,75.0,True,False,True,passed_or_minor_deduction
codex-baseline,TRAP-005,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
codex-enhanced,L1-001,policy_and_version,95.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L3-003,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
codex-enhanced,L3-004,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
codex-enhanced,L3-006,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L3-007,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,L3-008,policy_and_version,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
codex-enhanced,L3-009,retrieval_and_report,15.0,False,True,False,timeout|timeout_or_missing_submission
codex-enhanced,L3-010,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
codex-enhanced,TRAP-002,clean_trap,20,False,False,True,critical_failure|record_id_omission|record_scope_expansion
codex-enhanced,TRAP-003,clean_trap,45.0,False,False,True,record_id_omission|record_scope_expansion
codex-enhanced,TRAP-005,clean_trap,45.0,False,False,True,record_id_omission|record_scope_expansion
openclaude-baseline,L1-001,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L3-003,full_year_audit,19.0,False,False,True,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion
openclaude-baseline,L3-004,full_year_audit,55.0,False,False,True,record_id_omission|record_scope_expansion
openclaude-baseline,L3-006,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L3-007,retrieval_and_report,65.0,False,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-baseline,L3-008,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,L3-009,retrieval_and_report,57.5,False,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
openclaude-baseline,L3-010,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,TRAP-002,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
openclaude-baseline,TRAP-003,clean_trap,100.0,True,False,True,passed_or_minor_deduction
openclaude-baseline,TRAP-005,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
openclaude-enhanced,L1-001,policy_and_version,95.0,True,False,True,passed_or_minor_deduction
openclaude-enhanced,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-enhanced,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-enhanced,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-enhanced,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
openclaude-enhanced,L3-003,full_year_audit,15.0,False,False,True,anomaly_omission|anomaly_scope_expansion|critical_failure|record_id_omission|record_scope_expansion
openclaude-enhanced,L3-004,full_year_audit,55.0,False,False,True,record_scope_expansion
openclaude-enhanced,L3-006,policy_and_version,87.5,True,False,True,passed_or_minor_deduction
openclaude-enhanced,L3-007,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,L3-008,policy_and_version,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,L3-009,retrieval_and_report,77.0,True,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
openclaude-enhanced,L3-010,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
openclaude-enhanced,TRAP-002,clean_trap,45.0,False,False,True,record_id_omission|record_scope_expansion
openclaude-enhanced,TRAP-003,clean_trap,100.0,True,False,True,passed_or_minor_deduction
openclaude-enhanced,TRAP-005,clean_trap,20,False,False,True,critical_failure|record_id_omission|record_scope_expansion
opencode-baseline,L1-001,policy_and_version,95.0,True,False,True,passed_or_minor_deduction
opencode-baseline,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
opencode-baseline,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
opencode-baseline,L2-013,record_audit,85.0,True,False,True,anomaly_omission|anomaly_scope_expansion
opencode-baseline,L3-001,full_year_audit,50,False,False,True,critical_failure|reasoning_or_scan_error
opencode-baseline,L3-003,full_year_audit,11.0,False,False,True,anomaly_scope_expansion|critical_failure|reasoning_or_scan_error|record_scope_expansion
opencode-baseline,L3-004,full_year_audit,55.0,False,False,True,record_scope_expansion
opencode-baseline,L3-006,policy_and_version,87.5,True,False,True,passed_or_minor_deduction
opencode-baseline,L3-007,retrieval_and_report,20,False,False,True,anomaly_omission|anomaly_scope_expansion|critical_failure
opencode-baseline,L3-008,policy_and_version,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
opencode-baseline,L3-009,retrieval_and_report,62.0,False,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
opencode-baseline,L3-010,retrieval_and_report,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
opencode-baseline,TRAP-002,clean_trap,20,False,False,True,critical_failure|record_id_omission|record_scope_expansion
opencode-baseline,TRAP-003,clean_trap,70.0,True,False,True,record_scope_expansion
opencode-baseline,TRAP-005,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
opencode-enhanced,L1-001,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
opencode-enhanced,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
opencode-enhanced,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
opencode-enhanced,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
opencode-enhanced,L3-001,full_year_audit,50,False,False,True,critical_failure|reasoning_or_scan_error
opencode-enhanced,L3-003,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
opencode-enhanced,L3-004,full_year_audit,50.0,False,False,True,record_id_omission|record_scope_expansion
opencode-enhanced,L3-006,policy_and_version,87.5,True,False,True,passed_or_minor_deduction
opencode-enhanced,L3-007,retrieval_and_report,95.0,True,False,True,anomaly_omission|anomaly_scope_expansion
opencode-enhanced,L3-008,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
opencode-enhanced,L3-009,retrieval_and_report,78.0,True,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
opencode-enhanced,L3-010,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
opencode-enhanced,TRAP-002,clean_trap,20,False,False,True,critical_failure|record_id_omission|record_scope_expansion
opencode-enhanced,TRAP-003,clean_trap,10.0,False,True,False,record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
opencode-enhanced,TRAP-005,clean_trap,60.0,False,False,True,record_scope_expansion
oh-my-pi-baseline,L1-001,policy_and_version,95.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,L2-008,record_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,L3-003,full_year_audit,30.0,False,False,True,anomaly_scope_expansion|record_scope_expansion
oh-my-pi-baseline,L3-004,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
oh-my-pi-baseline,L3-006,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,L3-007,retrieval_and_report,65.0,False,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-baseline,L3-008,policy_and_version,100.0,True,False,True,anomaly_omission|anomaly_scope_expansion
oh-my-pi-baseline,L3-009,retrieval_and_report,50.0,False,False,True,anomaly_omission|anomaly_scope_expansion|report_completeness_error
oh-my-pi-baseline,L3-010,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,TRAP-002,clean_trap,92.5,True,False,True,record_scope_expansion
oh-my-pi-baseline,TRAP-003,clean_trap,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-baseline,TRAP-005,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
oh-my-pi-enhanced,L1-001,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L2-003,record_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L2-008,record_audit,90.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L2-013,record_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L3-001,full_year_audit,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L3-003,full_year_audit,0.0,False,True,False,anomaly_omission|anomaly_scope_expansion|record_id_omission|record_scope_expansion|timeout|timeout_or_missing_submission
oh-my-pi-enhanced,L3-004,full_year_audit,55.0,False,False,True,record_id_omission|record_scope_expansion
oh-my-pi-enhanced,L3-006,policy_and_version,77.5,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L3-007,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L3-008,policy_and_version,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,L3-009,retrieval_and_report,15.0,False,True,False,timeout|timeout_or_missing_submission
oh-my-pi-enhanced,L3-010,retrieval_and_report,100.0,True,False,True,passed_or_minor_deduction
oh-my-pi-enhanced,TRAP-002,clean_trap,15.0,False,False,True,critical_failure|record_id_omission|record_scope_expansion
oh-my-pi-enhanced,TRAP-003,clean_trap,45.0,False,False,True,record_id_omission|record_scope_expansion
oh-my-pi-enhanced,TRAP-005,clean_trap,97.0,True,False,True,record_scope_expansion
